name,head_note,heart_note,base_note,fragrance,Color Category
Libre,"lavender, mandarin, neroli","jasmine, orange","musk, tonka bean, vanilla","floral, oriental",White
Libre,"lavender, mandarin, neroli","jasmine, orange","musk, tonka bean, vanilla","floral, oriental",Indigo
La vie est belle,iris,"jasmine, orange blossom, patchouli","tonka bean, vanilla",floral,Beige
Black Opium,"orange, pear, pepper","coffee, jasmine, liquorice","cashmeran, cedar, patchouli, vanilla","floral, oriental",Gray
Paradoxe,neroli,Ambrofix,musk,powdery,Lavender
Paradoxe,neroli,Ambrofix,musk,powdery,Saddle Brown
Goddess,vanilla,vanilla,vanilla,unspecified,Beige
Chloé,"freesia, lychee, peony","lily of the valley, magnolia, rose","amber, cedar",floral,Ivory
Unisex fragrances,"bergamot, cinnamon, nutmeg","lily of the valley, praline, tuberose","amber wood, benzoin, myrrh, tonka bean, vanilla, wood","spicy, sweet",Beige
Donna Born In Roma,jasminum sambac,cashmeran,vanilla,wooden,White
Alien,jasminum sambac,wood,amber,"floral, oriental",White
Si,"bergamot, blackcurrant, vanilla","freesia, patchouli, rose","musk, orcanox","floral, fruity",Beige
Libre,"bergamot, lavender, mandarin","jasmine, orange, orchid","amber, tonka bean, vanilla",fruity,White
Libre,"bergamot, lavender, mandarin","jasmine, orange, orchid","amber, tonka bean, vanilla",fruity,Indigo
Idôle,jasmine,rose,chypre,floral,Beige
Women's fragrances,"heliotrope, mandarin, orchid",unknown,"musk, sandalwood, vanilla",powdery,Beige
Paradoxe,"bergamot, neroli, pear","jasmine, moss, neroli","amber, musk, vanilla",floral,Lavender
Paradoxe,"bergamot, neroli, pear","jasmine, moss, neroli","amber, musk, vanilla",floral,Saddle Brown
Emporio Armani,pear,jasmine,musk,"floral, oriental",Saddle Brown
Emporio Armani,pear,jasmine,musk,"floral, oriental",Beige
Spices,"bergamot, saffron","amber, oud, rose","amber, brown sugar, musk, oakmoss, tonka bean",oriental,Beige
My Way,"bergamot, orange","jasmine, tuberose","musk, vanilla",floral,Beige
Emporio Armani You,"bergamot, elemi","davana, lavender","cedar, patchouli, vanilla",fruity,Black
BOSS Alive,"apple, plum","cedar, jasmine","sandalwood, vanilla","fruity , wooden",Beige
Pour Femme,"freesia, pepper","heliotrope, hibiscus, jasmine","cedar, incense, sandalwood","floral, spicy",Gray
for her,unknown,unknown,unknown,unspecified,Lavender
Trésor,"apricot, peach, rose","iris, lily of the valley, vanilla","musk, sandalwood",floral,Pink
for her,"jasmine, orange blossom",musk,"ambra, cashmere, patchouli",chypre,Lavender
L'Interdit,"blood orange, ginger, spices","jasmine, orange, tuberose","patchouli, sandalwood, vetiver","floral, wooden",White
di Gioia,"aquatic notes, lemon, mint","jasmine, peony, pepper","cedar, resin, sugar",floral,Beige
